time,wind_speed_10m
2020-01-01,6.345929
2020-01-02,9.925103
2020-01-03,7.339819
2020-01-04,7.2153707
2020-01-05,8.881173
2020-01-06,9.896473
2020-01-07,11.365344
2020-01-08,6.2463884
2020-01-09,5.1669197
2020-01-10,8.913058
2020-01-11,9.481937
2020-01-12,7.323131
2020-01-13,13.342754
2020-01-14,9.784437
2020-01-15,10.582405
2020-01-16,9.916258
2020-01-17,6.8355503
2020-01-18,3.6825147
2020-01-19,5.451874
2020-01-20,6.070646
2020-01-21,3.7299
2020-01-22,2.8385785
2020-01-23,3.433526
2020-01-24,4.351024
2020-01-25,7.659329
2020-01-26,8.283926
2020-01-27,8.250336
2020-01-28,9.556801
2020-01-29,8.794658
2020-01-30,8.26407
2020-01-31,10.24099
