latitude,longitude,wind_speed_10m
55.5,349.0,9.233665
55.5,349.25,9.200921
55.5,349.5,9.173604
55.5,349.75,9.095283
55.5,350.0,9.049292
55.5,350.25,9.030915
55.5,350.5,9.01102
55.5,350.75,8.9776535
55.5,351.0,8.90298
55.5,351.25,8.783989
55.5,351.5,8.807041
55.5,351.75,8.957383
55.5,352.0,8.701838
55.5,352.25,8.262856
55.5,352.5,8.024296
55.5,352.75,7.9256706
55.5,353.0,8.099565
55.5,353.25,8.362509
55.5,353.5,7.9591336
55.5,353.75,7.4967594
55.5,354.0,7.8104253
55.5,354.25,8.193397
55.5,354.5,8.35362
55.25,349.0,9.144118
55.25,349.25,9.153659
55.25,349.5,9.083181
55.25,349.75,9.047171
55.25,350.0,9.101312
55.25,350.25,9.108408
55.25,350.5,9.006265
55.25,350.75,8.916416
55.25,351.0,8.813616
55.25,351.25,8.76545
55.25,351.5,8.7929945
55.25,351.75,8.242123
55.25,352.0,7.3512425
55.25,352.25,6.4561486
55.25,352.5,5.5516148
55.25,352.75,6.0790753
55.25,353.0,6.6615453
55.25,353.25,7.2867517
55.25,353.5,7.6223807
55.25,353.75,7.451655
55.25,354.0,7.5006275
55.25,354.25,7.799604
55.25,354.5,7.8170624
55.0,349.0,9.1387205
55.0,349.25,9.137933
55.0,349.5,9.068046
55.0,349.75,9.009459
55.0,350.0,8.92112
55.0,350.25,8.896601
55.0,350.5,8.757601
55.0,350.75,8.736242
55.0,351.0,8.8432665
55.0,351.25,8.646156
55.0,351.5,7.9254923
55.0,351.75,6.6824064
55.0,352.0,5.4249945
55.0,352.25,4.650466
55.0,352.5,4.109347
55.0,352.75,4.3327794
55.0,353.0,4.7768164
55.0,353.25,4.8589516
55.0,353.5,4.836013
55.0,353.75,5.024075
55.0,354.0,5.119023
55.0,354.25,6.6585526
55.0,354.5,7.4408803
54.75,349.0,9.090624
54.75,349.25,9.0176935
54.75,349.5,9.0341215
54.75,349.75,8.992171
54.75,350.0,8.909405
54.75,350.25,8.868622
54.75,350.5,8.862774
54.75,350.75,8.858639
54.75,351.0,8.392546
54.75,351.25,7.1886263
54.75,351.5,5.893373
54.75,351.75,4.8131003
54.75,352.0,4.340231
54.75,352.25,4.2830977
54.75,352.5,3.9786978
54.75,352.75,4.0798664
54.75,353.0,4.0230885
54.75,353.25,3.9467309
54.75,353.5,3.9259217
54.75,353.75,4.072936
54.75,354.0,4.567529
54.75,354.25,5.7288384
54.75,354.5,6.4903917
54.5,349.0,9.097808
54.5,349.25,9.035601
54.5,349.5,9.009336
54.5,349.75,8.794174
54.5,350.0,8.314349
54.5,350.25,8.284741
54.5,350.5,8.321819
54.5,350.75,8.132857
